City,Seed,Transition_days,Transition_RMSE_C1,Transition_RMSE_C3,Transition_RMSE_gain_pct,Transition_MAE_C1,Transition_MAE_C3,Transition_MAE_gain_pct,Boundary20_days,Boundary20_RMSE_C1,Boundary20_RMSE_C3,Boundary20_RMSE_gain_pct,Boundary20_MAE_C1,Boundary20_MAE_C3,Boundary20_MAE_gain_pct
jaipur,11,85,40.7137664299156,34.98990878795399,14.058777027702947,20.57551470588235,17.84459478537111,13.27266879856228,210,15.561934761228486,14.117916896693416,9.27916667619468,12.0622123015873,10.359507776507911,14.116021858240094
jaipur,22,85,41.46892881405661,35.549374521724296,14.27467374157439,20.864313725490195,18.02302275640867,13.6179459648859,210,15.326815684887878,13.672853238941974,10.791298596855304,12.137886904761903,10.115821206019627,16.659124562686316
jaipur,33,85,42.01944019157658,36.25457987829111,13.71950765408131,20.550759803921572,18.024276216367813,12.293869480541765,210,15.919125746916222,14.197436303756025,10.815226103064834,12.399732142857143,10.442776060156222,15.782244811056056
jaipur,44,85,41.163250800966495,35.50778995772684,13.739101585015888,20.453970588235297,18.05223803240319,11.742133613967038,210,15.84228925124895,14.136012226982965,10.7703943363581,12.371329365079362,10.399399357413497,15.939515871528288
jaipur,55,85,40.780087241455874,35.1665941002833,13.765279872834746,20.807352941176475,18.124110874197072,12.895643547572222,210,15.758335330838095,14.227091426561287,9.717040995315397,12.467420634920632,10.446429482989386,16.210178601582992
jaipur,66,85,41.83842942775469,36.26149474632045,13.329694153706981,20.74955882352941,18.434037245538384,11.159377400184956,210,15.68337518760335,14.357973999524182,8.45099458646381,12.237857142857145,10.513648179018851,14.089141127494372
jaipur,77,85,41.6046371730786,35.80551093543661,13.938653553249763,21.274093137254905,18.207384548225896,14.41522592405422,210,15.942137969591824,14.306717796701921,10.258474591107655,12.529255952380954,10.504306361261404,16.161770489928774
lucknow,11,119,31.10242550077251,29.68049839360062,4.571756331790187,24.319345238095238,23.01812498201048,5.350556289017398,177,20.09152612806064,19.44785779002792,3.203680665819332,14.326942090395479,14.268887602067181,0.4052119982198843
lucknow,22,119,32.80561200490548,31.192416750463764,4.917436852574156,25.370605742296913,23.90832305976024,5.763688488126289,177,21.039569816020403,20.20017554298652,3.9895980781638056,14.68299199623352,14.511836024390961,1.1656750333069987
lucknow,33,119,33.12681528881683,31.17344714169335,5.896637301512374,25.918102240896353,24.285556187987623,6.298864159632505,177,20.90216902260474,19.951910852090254,4.546218000088046,14.910016478342751,14.713442345243253,1.3184031914721726
lucknow,44,119,32.65286697090805,30.998169529639867,5.067541060766364,25.35241596638655,23.988441320936424,5.38005785033879,177,20.840423672805056,20.01289383798151,3.9707918025841384,14.736758474576272,14.504752485492212,1.5743352887564435
lucknow,55,119,31.35608899994996,29.935871776205488,4.529318767231268,24.42720588235295,23.102217333490994,5.4242329443793365,177,20.041350857620607,19.39124874105407,3.2438038792147528,14.282073917137478,14.171479891795967,0.7743555031514434
lucknow,66,119,33.55338632908559,31.646607262197232,5.682821543515791,25.916824229691873,24.43070440100686,5.734189557771605,177,21.375796174549574,20.328211233305215,4.900799636607847,14.904096045197738,14.578930328505765,2.1817204861394153
lucknow,77,119,33.98781334697019,32.63434612710195,3.9822132893668383,26.260591736694682,25.104017617955922,4.40421956342532,177,21.18065253964243,20.439665143429732,3.498416277901927,14.657897834274955,14.582587807166774,0.5137846365123457
